response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1425,P17_FOR,P44_FOR,FOR,False,,28.7,True,True,middle
1426,P43_FOR,P42_FOR,FOR,True,,55.1,True,True,late
1427,P29_FOR,P18_FOR,FOR,False,,48.1,True,True,late
1428,P39_FOR,P48_FOR,FOR,False,,122.3,True,True,late
1429,P43_AGAINST,P42_AGAINST,AGAINST,True,,33.2,True,True,late
1430,P29_AGAINST,P30_AGAINST,AGAINST,True,,63.3,True,False,late
1431,P25_AGAINST,P34_AGAINST,AGAINST,False,,41.6,True,True,late
1432,P33_FOR,P24_FOR,FOR,False,,22.4,False,False,early
1433,P29_FOR,P22_FOR,FOR,False,,19.8,False,False,early
1434,P25_FOR,P42_FOR,FOR,False,1,11.6,False,False,middle
1435,P43_FOR,P18_FOR,FOR,False,,14.2,True,True,middle
1436,P29_AGAINST,P18_AGAINST,AGAINST,False,1,10.9,False,False,late
1437,P33_AGAINST,P42_AGAINST,AGAINST,True,,63.6,True,True,early
1438,P17_FOR,P44_FOR,FOR,False,4,26.7,False,False,middle
1439,P27_AGAINST,P34_AGAINST,AGAINST,False,,25.4,False,False,early
1440,P43_FOR,P16_FOR,FOR,True,,75.6,False,False,early
1441,P25_FOR,P48_FOR,FOR,False,,37.3,False,False,middle
1442,P27_FOR,P40_FOR,FOR,False,,15.0,False,False,middle
1443,P29_FOR,P44_FOR,FOR,False,,26.2,False,False,late
1444,P43_AGAINST,P18_AGAINST,AGAINST,True,,13.3,False,False,late
1445,P29_AGAINST,P16_AGAINST,AGAINST,True,,39.3,False,False,early
1446,P39_FOR,P22_FOR,FOR,True,2,39.3,False,False,early
